Descripción;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;Total
HONDA;;;;;;;;;;;;;;;;
        HONDA WAVE 110 S;4.419;3.634;3.870;2.848;4.219;4.145;4.366;3.644;3.752;3.886;3.756;3.066;4.603;3.821;2.988;57.017
        HONDA GLH 150;1.082;1.125;1.505;1.203;1.148;945;1.284;1.247;888;946;754;694;1.026;888;608;15.343
        HONDA XR250 TORNADO;;763;829;848;895;828;747;850;982;1.096;926;500;833;668;406;11.171
        HONDA CB125F TWISTER;366;286;690;764;783;646;946;826;632;755;571;524;585;483;323;9.180
        HONDA XR150L;;;;;;;;997;1.056;1.220;885;659;875;613;528;6.833
        HONDA WAVE 110 S CD;484;359;362;566;514;582;580;480;441;424;444;330;482;361;316;6.725
        HONDA XR150L;1.284;1.106;1.468;1.016;;834;905;;;;;;;;;6.613
        HONDA XR190L;384;347;524;515;;391;410;444;430;718;425;284;398;367;225;5.862
        HONDA CB300F TWISTER;;;;;4;356;402;509;417;391;382;246;336;281;196;3.520
        HONDA NAVI;;;;;;;;;;;;;3;522;618;1.143
        HONDA XR250 TORNADO;1.094;;;;;;;;;;;;;;;1.094
        HONDA XR150L;;;;;1.048;;;;;;;;;;;1.048
        HONDA CB 250 TWISTER;432;245;;111;70;37;27;21;17;20;13;11;4;8;4;1.020
        HONDA XR190L;;;;;489;;;;;;;;;;;489
        HONDA NEW ELITE 125;30;38;79;48;29;13;15;14;4;14;6;7;;;;297
        HONDA PCX 160;;;;;;;;;;5;53;44;63;50;33;248
        HONDA CB 250 TWISTER;;;208;;;;;;;;;;;;;208
        HONDA CG150 TITAN;17;17;14;14;9;19;16;16;;11;6;10;9;7;4;169
        HONDA CB250 TWISTER;32;27;24;10;8;7;5;3;1;5;4;2;1;;;129
        HONDA PCX 150;29;16;18;8;5;3;3;1;2;1;2;4;;;;92
        HONDA PCX 150 DLX;11;7;6;4;5;;2;;1;;;;;;;36
        HONDA NC 750 XA;;;;2;10;3;3;3;3;5;2;3;;;;34
        HONDA XRE300;7;2;5;5;4;2;2;1;2;1;1;;;;;32
        HONDA CB500X;;;;1;7;2;3;1;2;;1;;2;2;3;24
        HONDA CRF 230F;;5;4;1;;6;;1;;;1;;;;;18
        HONDA XRE 300 RALLY;3;1;5;2;2;;;1;1;;1;;;;;16
        HONDA CG150 TITAN;;;;;;;;;13;;;;;;;13
        HONDA CRF 1100AL AFRICA TWIN;;;;;;5;2;1;;2;1;;;;;11
        HONDA ST 70;;;;2;;;2;;;2;;2;1;;;9
        HONDA C100 BIZ;;;1;;2;;1;;1;;;1;;;1;7
        HONDA CRF 1100A2L AFRICA TWIN ADVENTURE SPORTS;;;;;1;1;3;1;;;;1;;;;7
        HONDA CRF 1100D2L AFRICA TWIN ADVENTURE SPORTS;1;;1;;;2;1;;1;;;;;;;6
        HONDA CB 190 R;;2;1;;;1;;;;1;1;;;;;6
        HONDA CRF 250R;;;;1;;;;;2;;2;1;;;;6
        HONDA CBR 1000 ST;;;;;;;;1;3;;1;1;;;;6
        HONDA CB750A;;;;;;;;;;;;2;4;;;6
        HONDA CG125 TITAN KS;;1;;;1;;;1;1;;1;;;;;5
        HONDA CRF 250R;;;2;;;;;;;;;;;2;1;5
        HONDA CRF 1100DL AFRICA TWIN;;;;;;1;3;;1;;;;;;;5
        HONDA CB1000 R;;;;;;;1;;1;3;;;;;;5
        HONDA CB 500 F;;;1;;;1;;1;1;;;;;;;4
        HONDA XLR 125;;;;;;;;1;2;;1;;;;;4
        HONDA CRF 250R;;;;;;;;;;;;;4;;;4
        HONDA CB750A;;;;;;;;;;;;;;4;;4
        HONDA XR100;;;;;1;1;;;;;1;;;;;3
        HONDA CRF 450 RX;;;;;;;;;1;;;;1;1;;3
        HONDA CBR 1000 SP;1;;;;;;;1;;;;;;;;2
        HONDA TRX420FM;1;;1;;;;;;;;;;;;;2
        HONDA CRF 450R;;;1;;;;;;1;;;;;;;2
        HONDA TRX520FM1;;;1;;;1;;;;;;;;;;2
        HONDA TRX420 TM;;;;;1;;;;;1;;;;;;2
        HONDA C100 BIZ;;;;;;;;;;;2;;;;;2
        HONDA CRF 450R;;;;;;;;;;;;1;1;;;2
        HONDA CRF 1100 D4 AFRICA TWIN ADVENTURE SPORTS;;;;;;;;;;;;;2;;;2
        HONDA CF50 CHALY;1;;;;;;;;;;;;;;;1
        HONDA TACC;1;;;;;;;;;;;;;;;1
        HONDA XR100R;1;;;;;;;;;;;;;;;1
        HONDA XR250R;1;;;;;;;;;;;;;;;1
        HONDA XR80;1;;;;;;;;;;;;;;;1
        HONDA CR80;;1;;;;;;;;;;;;;;1
        HONDA EVE;;1;;;;;;;;;;;;;;1
        HONDA PCX 125;;1;;;;;;;;;;;;;;1
        HONDA TRX 90;;1;;;;;;;;;;;;;;1
        HONDA TRX-90P;;1;;;;;;;;;;;;;;1
        HONDA XR100;;1;;;;;;;;;;;;;;1
        HONDA ATC 110C;;;1;;;;;;;;;;;;;1
        HONDA BIZ 125 FI;;;1;;;;;;;;;;;;;1
        HONDA CM200TB;;;1;;;;;;;;;;;;;1
        HONDA NT110MT;;;1;;;;;;;;;;;;;1
        HONDA BIZ 125 KSST;;;;;1;;;;;;;;;;;1
        HONDA CG 150 ESD TITTAN;;;;;1;;;;;;;;;;;1
